Pre-Processing Technique,N_Grams,No_of_Features,Classifier Applied,Accuracy,Precision,Recall,F-Score
Lemmatizing,"(1, 2)",3000,SVM,0.8567493112947658,0.90690969004222,0.7741253235089509,0.8178065986219817
Lemmatizing,"(1, 1)",3000,SVM,0.8539944903581267,0.844664587537455,0.7984502886695254,0.818132605359391
Stemming,"(1, 1)",3000,LogReg,0.8457300275482094,0.8502788705070863,0.7814958472299581,0.8066611043568779
Lemmatizing,"(1, 1)",3000,LogReg,0.8457300275482094,0.8474004753416517,0.7814958472299581,0.8063360173605162
None,"(1, 1)",3000,SVM,0.8429752066115702,0.8354823354823355,0.783957535046337,0.8048795285326058
None,"(1, 1)",3000,LogReg,0.8402203856749312,0.8399509803921569,0.7745246068121983,0.7991532306677073
Stemming,"(1, 1)",3000,SVM,0.837465564738292,0.824228911185433,0.7810428787766943,0.7993388083968279
None,"(1, 1)",3000,RndFrst,0.837465564738292,0.8601490112243432,0.7444312841264195,0.7840549824228865
None,"(1, 2)",3000,SVM,0.837465564738292,0.8885870329867106,0.7452566933079222,0.7908434684563371
None,"(1, 2)",3000,LogReg,0.8319559228650137,0.8535611619976073,0.7465009585036159,0.7824705460263037
Lemmatizing,"(1, 2)",3000,LogReg,0.8319559228650137,0.8535611619976073,0.7465009585036159,0.7824705460263037
Stemming,"(1, 1)",3000,RndFrst,0.8319559228650137,0.8654364678126053,0.7281439925198692,0.7712953163762478
Lemmatizing,"(1, 1)",3000,RndFrst,0.8319559228650137,0.8531752824375213,0.7357068880284352,0.775261530411144
Stemming,"(1, 2)",3000,LogReg,0.8292011019283747,0.8498281032843246,0.7486875099261606,0.7836813346574734
Stemming,"(1, 2)",3000,SVM,0.8292011019283747,0.8763312358746728,0.7427754327806001,0.7830242272347535
Stemming,"(1, 2)",3000,RndFrst,0.8209366391184573,0.8403340315105021,0.7101449275362319,0.750271818128961
None,"(2, 2)",3000,SVM,0.8154269972451791,0.8933601224646001,0.7052019791925307,0.7572302660110877
Lemmatizing,"(2, 2)",3000,SVM,0.8154269972451791,0.8897400976052662,0.7052019791925307,0.7562524184137055
Stemming,"(2, 2)",3000,SVM,0.8154269972451791,0.8800159615018105,0.7089834269468137,0.7585360744531227
Lemmatizing,"(1, 2)",3000,RndFrst,0.8126721763085399,0.8498617395676219,0.6992753623188405,0.7433970687470168
None,"(1, 2)",3000,RndFrst,0.8071625344352618,0.8254092650644376,0.694057277581305,0.7337679160002272
Lemmatizing,"(2, 3)",3000,SVM,0.7988980716253443,0.8768700072621641,0.6767253624306847,0.7241126348794982
Stemming,"(2, 3)",3000,SVM,0.7988980716253443,0.8799390968508615,0.674697070356626,0.723198906524965
Stemming,"(2, 2)",3000,LogReg,0.7988980716253443,0.8527282056446296,0.6887223157984211,0.7358105022831051
Stemming,"(1, 2)",3000,NaiveBayes,0.7988980716253443,0.7598104056437389,0.7789972508729429,0.7672851205320033
Lemmatizing,"(2, 2)",3000,LogReg,0.7961432506887053,0.8498992246816517,0.6871274194666827,0.7338179507605934
None,"(2, 3)",3000,SVM,0.7961432506887053,0.8695521331209064,0.6713490183446632,0.7161530942681948
Stemming,"(2, 2)",3000,NaiveBayes,0.7933884297520661,0.7549769384193468,0.7702728547749585,0.7596062359369977
Lemmatizing,"(1, 2)",3000,NaiveBayes,0.7933884297520661,0.7500922230285437,0.7720260104551829,0.7591693107431321
Lemmatizing,"(2, 3)",3000,NaiveBayes,0.7933884297520661,0.746442825864654,0.7671440171255628,0.7545199042367816
Stemming,"(2, 3)",3000,NaiveBayes,0.7933884297520661,0.746611274042953,0.7671440171255628,0.7551793516435109
None,"(2, 2)",3000,LogReg,0.7933884297520661,0.8486048265460031,0.6835042310608856,0.7301899195463551
None,"(2, 3)",3000,NaiveBayes,0.790633608815427,0.745293291935083,0.7635208287197658,0.7524097986077899
Stemming,"(2, 2)",3000,RndFrst,0.7851239669421488,0.8575771003190358,0.6577840112201964,0.7078743100908153
Lemmatizing,"(2, 2)",3000,NaiveBayes,0.7851239669421488,0.7410523889690556,0.7634598737056845,0.7495287217163926
None,"(2, 2)",3000,NaiveBayes,0.7823691460055097,0.7371262760969369,0.7595615489060532,0.7463489057239058
Stemming,"(3, 3)",3000,NaiveBayes,0.7796143250688705,0.7381975678827253,0.7066067406179609,0.7192065375702658
None,"(2, 3)",3000,RndFrst,0.7768595041322314,0.8316674995835416,0.6471895823966393,0.6926017396120491
Lemmatizing,"(3, 3)",3000,NaiveBayes,0.7768595041322314,0.7352813852813852,0.7029835522121637,0.715041256224783
Lemmatizing,"(2, 3)",3000,LogReg,0.7768595041322314,0.844508864346829,0.6524490494373124,0.7002099393491729
Stemming,"(2, 3)",3000,LogReg,0.7768595041322314,0.8464110436582698,0.6524490494373124,0.7008503401360544
None,"(2, 3)",3000,LogReg,0.7768595041322314,0.844508864346829,0.6524490494373124,0.7002099393491729
None,"(3, 3)",3000,NaiveBayes,0.7768595041322314,0.7400272735562279,0.7029835522121637,0.7168014558192045
None,"(1, 2)",3000,NaiveBayes,0.7741046831955923,0.7345007906843013,0.7568051519848966,0.7427237762510933
Stemming,"(1, 1)",3000,NaiveBayes,0.7741046831955923,0.7632610006027728,0.6923477410854689,0.7178637879310523
Lemmatizing,"(2, 2)",3000,RndFrst,0.7713498622589532,0.8189165532619044,0.6416963612652694,0.6857724386628615
None,"(1, 1)",3000,NaiveBayes,0.7713498622589532,0.7493761279743758,0.6904777083598962,0.7131241717383544
Lemmatizing,"(1, 1)",3000,NaiveBayes,0.768595041322314,0.7451583340026163,0.692664259782441,0.7132668734395663
None,"(2, 2)",3000,RndFrst,0.7658402203856749,0.8129260388110361,0.637956295814124,0.6790716286514606
Stemming,"(2, 3)",3000,RndFrst,0.7548209366391184,0.8028440321947389,0.6202323672243212,0.6624533570563669
Lemmatizing,"(2, 3)",3000,RndFrst,0.7493112947658402,0.8062078272604589,0.6059733676918293,0.6480390954075165
None,"(3, 3)",3000,LogReg,0.7410468319559229,0.8133076140694325,0.5948286660806038,0.63751625462676
Stemming,"(3, 3)",3000,LogReg,0.7410468319559229,0.8166717856421827,0.5965818217608282,0.6398297306244465
Lemmatizing,"(3, 3)",3000,LogReg,0.7382920110192838,0.8116897333646103,0.5912054776748067,0.6333216154289713
Lemmatizing,"(3, 3)",3000,SVM,0.7327823691460055,0.8066466766616692,0.5847845100447152,0.6263804051073701
Stemming,"(3, 3)",3000,SVM,0.7327823691460055,0.8353254543826664,0.5830313543644908,0.6265315749761493
None,"(3, 3)",3000,SVM,0.7327823691460055,0.8066466766616692,0.5847845100447152,0.6263804051073701
Lemmatizing,"(1, 2)",3000,DecTree,0.7300275482093664,0.7049382716049383,0.5872461978610942,0.6139603408612886
Stemming,"(3, 3)",3000,RndFrst,0.7245179063360881,0.8394841269841269,0.5675549322113137,0.6101265765551916
Lemmatizing,"(3, 3)",3000,RndFrst,0.721763085399449,0.8449848626319213,0.5604254324450678,0.6025086669991494
Stemming,"(2, 3)",3000,DecTree,0.71900826446281,0.6912113018508039,0.5611339645812222,0.5848166879089552
None,"(3, 3)",3000,RndFrst,0.7162534435261708,0.7991912366912368,0.5496727442730248,0.5850047167876625
Lemmatizing,"(2, 3)",3000,DecTree,0.7134986225895317,0.6616849377640744,0.5433686536882817,0.5573564726975083
Lemmatizing,"(2, 2)",3000,DecTree,0.7024793388429752,0.6255394152111261,0.5326573478193762,0.5454986195387183
None,"(2, 2)",3000,DecTree,0.699724517906336,0.6572114424133453,0.5398282298887599,0.5592948971710379
Lemmatizing,"(1, 1)",3000,DecTree,0.6942148760330579,0.7169596038065644,0.540042411268513,0.5585470085470086
None,"(2, 3)",3000,DecTree,0.6942148760330579,0.6034199134199135,0.5215126462081507,0.5316483264383777
None,"(1, 2)",3000,DecTree,0.6887052341597796,0.5911546338965694,0.523102509557075,0.5038155400955165
Stemming,"(1, 2)",3000,DecTree,0.6721763085399449,0.7032337100986986,0.5020159892271799,0.5089399757455116
None,"(3, 3)",3000,DecTree,0.6639118457300276,0.6421263324489132,0.46357574415447,0.460460649743076
Stemming,"(2, 2)",3000,DecTree,0.6611570247933884,0.5438483339994913,0.4665877047585174,0.4567930805056554
Stemming,"(1, 1)",3000,DecTree,0.6584022038567493,0.6653725568674538,0.4875791576352586,0.4685903844324106
None,"(1, 1)",3000,DecTree,0.650137741046832,0.6180279380093073,0.4853730335017704,0.452120294482297
Lemmatizing,"(3, 3)",3000,DecTree,0.6418732782369146,0.599887837364178,0.4453843073832739,0.4369073076436645
Stemming,"(3, 3)",3000,DecTree,0.628099173553719,0.4840619307832423,0.4228343074951179,0.4055005305978068
Lemmatizing,"(1, 1)",2000,SVM,0.8512396694214877,0.8427128427128427,0.7948271002637283,0.8150378019546376
Stemming,"(1, 1)",2000,LogReg,0.8484848484848485,0.8556012844115898,0.7851190356357552,0.8114347148309413
Stemming,"(1, 1)",2000,RndFrst,0.8457300275482094,0.8818364404161088,0.7555759857376452,0.7979350993667697
Lemmatizing,"(1, 1)",2000,LogReg,0.8457300275482094,0.8474004753416517,0.7814958472299581,0.8063360173605162
Lemmatizing,"(1, 2)",2000,SVM,0.8457300275482094,0.8909966877446553,0.7657174461079386,0.8067646089115948
Stemming,"(1, 1)",2000,SVM,0.8402203856749312,0.831043038112539,0.7826377751084328,0.8030699828182666
Lemmatizing,"(1, 2)",2000,LogReg,0.8402203856749312,0.8586418216024789,0.7573705237210072,0.7931117191986757
None,"(1, 1)",2000,LogReg,0.8402203856749312,0.8368564671639076,0.7745246068121983,0.7982665985383376
None,"(1, 1)",2000,RndFrst,0.837465564738292,0.8595750714550471,0.7409249727659707,0.7806561550107683
Lemmatizing,"(1, 1)",2000,RndFrst,0.837465564738292,0.853031603031603,0.7353903693314633,0.7734597101348272
None,"(1, 1)",2000,SVM,0.837465564738292,0.8292117758784426,0.776986294628577,0.7983469505295472
Stemming,"(1, 2)",2000,SVM,0.837465564738292,0.8823606859550376,0.7513415695300983,0.7919691470054446
Stemming,"(1, 2)",2000,LogReg,0.8347107438016529,0.8620071684587813,0.7576870424179791,0.7940163449924839
None,"(1, 2)",2000,SVM,0.8347107438016529,0.8721342768126394,0.7477183811243012,0.7871874380347309
None,"(1, 2)",2000,LogReg,0.8319559228650137,0.8526499505184802,0.7447478028233915,0.781345920133876
None,"(1, 2)",2000,RndFrst,0.8264462809917356,0.84574534942182,0.724679063462558,0.7642969942155506
Stemming,"(2, 2)",2000,SVM,0.8264462809917356,0.89514687100894,0.7272576283242852,0.77698975571316
Lemmatizing,"(1, 2)",2000,RndFrst,0.8236914600550964,0.8544481358434847,0.717549563696312,0.7596603891273137
Stemming,"(1, 2)",2000,RndFrst,0.8209366391184573,0.8524167115716411,0.7104200639300661,0.752221385091905
None,"(2, 2)",2000,SVM,0.8181818181818182,0.8755349404117009,0.7166631995007281,0.7634155661730877
Lemmatizing,"(2, 2)",2000,SVM,0.8154269972451791,0.8739292556102901,0.713040011094931,0.7602486647403904
Lemmatizing,"(1, 2)",2000,NaiveBayes,0.8154269972451791,0.776969336505419,0.7981578164459983,0.7860673078750658
Stemming,"(2, 3)",2000,SVM,0.8126721763085399,0.8895314680179188,0.7001007715003434,0.7500894802365391
Lemmatizing,"(2, 3)",2000,SVM,0.8099173553719008,0.8776219154852304,0.7002590308488292,0.7494365528258711
None,"(2, 3)",2000,NaiveBayes,0.8071625344352618,0.7726651901070506,0.7597175713732884,0.7657528643340364
None,"(1, 2)",2000,NaiveBayes,0.8016528925619835,0.7601234830743028,0.7959930746156479,0.7739131055962739
Stemming,"(2, 3)",2000,NaiveBayes,0.8016528925619835,0.7607240998132228,0.7544994866357531,0.757387831115894
Lemmatizing,"(2, 3)",2000,NaiveBayes,0.8016528925619835,0.7613937564689959,0.7544994866357531,0.7575019720712076
None,"(2, 3)",2000,SVM,0.8016528925619835,0.86983316309159,0.6914177577054966,0.7405849516471421
Lemmatizing,"(2, 2)",2000,NaiveBayes,0.7988980716253443,0.7578751431844215,0.772912374650767,0.7648561575313817
Stemming,"(2, 2)",2000,NaiveBayes,0.7961432506887053,0.7545113886388638,0.769564322638804,0.7612301757379477
Stemming,"(1, 2)",2000,NaiveBayes,0.7961432506887053,0.7573061392821897,0.769564322638804,0.7619063261339685
None,"(2, 2)",2000,LogReg,0.7961432506887053,0.8498992246816517,0.6871274194666827,0.7338179507605934
Stemming,"(2, 2)",2000,LogReg,0.7961432506887053,0.8492373325706658,0.6871274194666827,0.7341558677675587
Lemmatizing,"(2, 2)",2000,LogReg,0.7961432506887053,0.8498992246816517,0.6871274194666827,0.7338179507605934
None,"(2, 2)",2000,NaiveBayes,0.7933884297520661,0.7509538539378816,0.7694474455934558,0.7593106638908166
Lemmatizing,"(1, 1)",2000,NaiveBayes,0.790633608815427,0.7748331201021089,0.7138117351264174,0.7366746701942303
None,"(1, 1)",2000,NaiveBayes,0.7878787878787878,0.7740001556178028,0.7081602546465616,0.7331041739297021
Lemmatizing,"(2, 3)",2000,LogReg,0.7796143250688705,0.8526154577910727,0.6578253935233339,0.706437937493838
Stemming,"(2, 3)",2000,LogReg,0.7796143250688705,0.8467128222447372,0.6578253935233339,0.7054874442752047
None,"(2, 3)",2000,LogReg,0.7796143250688705,0.8540326738706385,0.6578253935233339,0.7070827915828498
Stemming,"(1, 1)",2000,NaiveBayes,0.7768595041322314,0.7653364353903688,0.6942177738110417,0.7192102105377987
Stemming,"(2, 3)",2000,RndFrst,0.7713498622589532,0.830745598487534,0.6416963612652694,0.6879924650555959
None,"(2, 2)",2000,RndFrst,0.768595041322314,0.7756659031334042,0.6406517377211997,0.676761276165447
Lemmatizing,"(2, 2)",2000,RndFrst,0.7603305785123967,0.8083941892422457,0.6216690042075736,0.6640918919905672
Stemming,"(3, 3)",2000,NaiveBayes,0.7603305785123967,0.71303714143637,0.6794912660971567,0.6906379422146367
Stemming,"(2, 2)",2000,RndFrst,0.7603305785123967,0.789951573849879,0.622219276995242,0.6609893569407462
Lemmatizing,"(3, 3)",2000,NaiveBayes,0.7575757575757576,0.7099345563889795,0.6778963697654182,0.6878519403891213
None,"(3, 3)",2000,NaiveBayes,0.7548209366391184,0.7111452114925303,0.6725200256793967,0.6850190734875632
None,"(2, 3)",2000,RndFrst,0.7548209366391184,0.8095427402661004,0.6146977637898137,0.6577053654321292
Lemmatizing,"(2, 3)",2000,RndFrst,0.7520661157024794,0.7792784929144808,0.6095965560976264,0.6467633117740402
Lemmatizing,"(3, 3)",2000,LogReg,0.7493112947658402,0.8267718593381478,0.6092045426584439,0.6541894521249362
Stemming,"(3, 3)",2000,SVM,0.7493112947658402,0.8515211640211641,0.6009890370449904,0.6444149268875404
Stemming,"(3, 3)",2000,LogReg,0.7493112947658402,0.8293944662093778,0.6109576983386683,0.6563453795779773
None,"(3, 3)",2000,LogReg,0.7493112947658402,0.8267718593381478,0.6092045426584439,0.6541894521249362
None,"(3, 3)",2000,SVM,0.7465564738292011,0.8301975801975802,0.6011472963934764,0.6439440535826079
Lemmatizing,"(3, 3)",2000,SVM,0.743801652892562,0.8146853146853147,0.5975241079876793,0.638906067477496
None,"(3, 3)",2000,RndFrst,0.71900826446281,0.790940170940171,0.5588305361133293,0.5954072915115355
Stemming,"(3, 3)",2000,RndFrst,0.7134986225895317,0.7893366715124105,0.546324692261062,0.580000787133219
None,"(1, 2)",2000,DecTree,0.7107438016528925,0.6066558959316947,0.5332831153492554,0.5283607565043372
Lemmatizing,"(1, 2)",2000,DecTree,0.7079889807162535,0.7873574245816011,0.5376002961630776,0.5645991939095388
Lemmatizing,"(2, 3)",2000,DecTree,0.7079889807162535,0.6802881909264888,0.5384257053445803,0.5533298294023609
Lemmatizing,"(3, 3)",2000,RndFrst,0.7079889807162535,0.8114731272626009,0.5370500233754091,0.5708795749058752
Stemming,"(1, 2)",2000,DecTree,0.7052341597796143,0.7649467649467651,0.5464219965954668,0.5669638100029523
None,"(2, 3)",2000,DecTree,0.696969696969697,0.7154287439613527,0.5055759857376451,0.4964578605477707
Lemmatizing,"(1, 1)",2000,DecTree,0.6942148760330579,0.6609644835451287,0.531654106578444,0.5494819388262011
Lemmatizing,"(3, 3)",2000,DecTree,0.6914600550964187,0.7096320458389425,0.5038642123605584,0.5065637831388773
Lemmatizing,"(2, 2)",2000,DecTree,0.6887052341597796,0.6737312395207132,0.5203511456187325,0.5385286266936292
Stemming,"(2, 2)",2000,DecTree,0.6804407713498623,0.5727992807444402,0.5094815804013412,0.5163301304271943
Stemming,"(2, 3)",2000,DecTree,0.6776859504132231,0.584942084942085,0.4772576283242851,0.4465968713563932
Stemming,"(3, 3)",2000,DecTree,0.6749311294765841,0.8009652457601985,0.4760402057035998,0.4801078161371138
None,"(1, 1)",2000,DecTree,0.6666666666666666,0.7399331662489557,0.4912633010551369,0.4943108007435493
None,"(2, 2)",2000,DecTree,0.6611570247933884,0.5439665904919145,0.4794100673077568,0.4805353906590124
Stemming,"(1, 1)",2000,DecTree,0.6363636363636364,0.5682177904400126,0.4623750981431649,0.4509410334358825
None,"(3, 3)",2000,DecTree,0.6115702479338843,0.3746268656716418,0.3804347826086956,0.329573778664008
